Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-dntq,branch-m3cj,branch-gv2f,branch-jlla,branch-r87h,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Response1,Spreadsheet: Response2,Spreadsheet: Response3,Spreadsheet: Response4,Spreadsheet: Answer,Spreadsheet: Exercise_stimuli,Spreadsheet: CA_iteration1_stimuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spreadsheet:,Manipulation: Spreadsheet,Store: Result,Store: Response time
1,1717038526396,30/05/2024 03:08:46,1717020526396,-5,29/05/2024 17:08:46,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,,,,,,info,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1717038541737,30/05/2024 03:09:01,1717020541737,-5,29/05/2024 17:09:01,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,,,,,,info,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1717038541750,30/05/2024 03:09:01,1717020541750,-5,29/05/2024 17:09:01,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1717038546084,30/05/2024 03:09:06,1717020546084,-5,29/05/2024 17:09:06,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Instruction (exercise),Screen 1,j1qori,1,continue,,4355.3,4349.1,4355.3,4355.3,4349.1,4355.3,1,4355.3,0,0,,Click To Continue,Continue Button,2,object-1120,Instruction (exercise),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1717038554221,30/05/2024 03:09:14,1717020554221,-5,29/05/2024 17:09:14,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Instruction,Instruction,4bbmyx,1,continue,,8143,8134.7,8143,8143,8134.7,8143,1,8143,0,0,,Click To Continue,Continue Button,2,object-58,Instruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1717038556198,30/05/2024 03:09:16,1717020556198,-5,29/05/2024 17:09:16,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Fixation,49xu5x,1,continue,,1983.6,1983.6,1983.6,1983.6,1983.6,1983.6,1,1983.6,0,0,,Fixation Timing,Fixation,1,object-133,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1717038556203,30/05/2024 03:09:16,1717020556203,-5,29/05/2024 17:09:16,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio started,7.1,0,7.1,7.1,0,7.1,1,7.1,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1717038556203,30/05/2024 03:09:16,1717020556203,-5,29/05/2024 17:09:16,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio started,7.499999991,0,7.499999991,7.499999991,0,7.499999991,1,7.499999991,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1717038556203,30/05/2024 03:09:16,1717020556203,-5,29/05/2024 17:09:16,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio started,7.6,0,7.6,7.6,0,7.6,1,7.6,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1717038556203,30/05/2024 03:09:16,1717020556203,-5,29/05/2024 17:09:16,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio started,7.800000003,0,7.800000003,7.800000003,0,7.800000003,1,7.800000003,0,0,,Audio Clip,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
